n,size,block_type,rt,acc,answer,changed_element,matrix_1,matrix_2
5,"[3, 3]",experiment,3.2784698009490967,0,images/images/3_2.png,images/images/3_13.png,"['images/images/3_1.png', 'images/images/3_9.png', 'images/images/3_2.png', 'images/images/3_10.png', 'images/images/3_14.png']","['images/images/3_1.png', 'images/images/3_9.png', 'images/images/3_2.png', 'images/images/3_13.png', 'images/images/3_14.png']"
2,"[3, 3]",experiment,1.0638298988342285,1,images/images/3_27.png,images/images/3_27.png,"['images/images/3_1.png', 'images/images/3_2.png']","['images/images/3_1.png', 'images/images/3_27.png']"
6,"[3, 3]",experiment,2.2154059410095215,1,images/images/3_9.png,images/images/3_9.png,"['images/images/3_16.png', 'images/images/3_14.png', 'images/images/3_27.png', 'images/images/3_3.png', 'images/images/3_26.png', 'images/images/3_13.png']","['images/images/3_16.png', 'images/images/3_14.png', 'images/images/3_27.png', 'images/images/3_3.png', 'images/images/3_9.png', 'images/images/3_13.png']"
5,"[3, 3]",experiment,1.1053500175476074,1,images/images/3_3.png,images/images/3_3.png,"['images/images/3_2.png', 'images/images/3_14.png', 'images/images/3_9.png', 'images/images/3_27.png', 'images/images/3_16.png']","['images/images/3_2.png', 'images/images/3_3.png', 'images/images/3_9.png', 'images/images/3_27.png', 'images/images/3_16.png']"
5,"[3, 3]",experiment,0.7770040035247803,1,images/images/3_10.png,images/images/3_10.png,"['images/images/3_14.png', 'images/images/3_9.png', 'images/images/3_13.png', 'images/images/3_1.png', 'images/images/3_2.png']","['images/images/3_14.png', 'images/images/3_9.png', 'images/images/3_10.png', 'images/images/3_1.png', 'images/images/3_2.png']"
6,"[3, 3]",experiment,2.408099889755249,0,images/images/3_14.png,images/images/3_3.png,"['images/images/3_2.png', 'images/images/3_27.png', 'images/images/3_14.png', 'images/images/3_9.png', 'images/images/3_10.png', 'images/images/3_1.png']","['images/images/3_2.png', 'images/images/3_3.png', 'images/images/3_14.png', 'images/images/3_9.png', 'images/images/3_10.png', 'images/images/3_1.png']"
6,"[3, 3]",experiment,1.326977014541626,1,images/images/3_16.png,images/images/3_16.png,"['images/images/3_27.png', 'images/images/3_1.png', 'images/images/3_3.png', 'images/images/3_13.png', 'images/images/3_26.png', 'images/images/3_2.png']","['images/images/3_27.png', 'images/images/3_16.png', 'images/images/3_3.png', 'images/images/3_13.png', 'images/images/3_26.png', 'images/images/3_2.png']"
3,"[3, 3]",experiment,1.2921559810638428,0,images/images/3_9.png,images/images/3_14.png,"['images/images/3_9.png', 'images/images/3_27.png', 'images/images/3_16.png']","['images/images/3_9.png', 'images/images/3_14.png', 'images/images/3_16.png']"
4,"[3, 3]",experiment,2.1719071865081787,0,images/images/3_2.png,images/images/3_14.png,"['images/images/3_3.png', 'images/images/3_2.png', 'images/images/3_26.png', 'images/images/3_10.png']","['images/images/3_3.png', 'images/images/3_2.png', 'images/images/3_14.png', 'images/images/3_10.png']"
5,"[3, 3]",experiment,2.6512229442596436,1,images/images/3_1.png,images/images/3_1.png,"['images/images/3_27.png', 'images/images/3_10.png', 'images/images/3_16.png', 'images/images/3_14.png', 'images/images/3_2.png']","['images/images/3_27.png', 'images/images/3_10.png', 'images/images/3_1.png', 'images/images/3_14.png', 'images/images/3_2.png']"
