trigger_no,trigger_type,acc,n,block_type
# 0:07:11.125063  | info     | Clear message sent to EEG.
# 0:07:12.186013  | info     | Value: 35 sent to EEG.
# 0:07:12.186058  | info     | send_trigger() run with params trigger_type=answer, info=None, with_delay=True
# 0:07:12.189286  | info     | Clear message sent to EEG.
# 0:07:13.679618  | info     | Value: 36 sent to EEG.
# 0:07:13.679645  | info     | send_trigger() run with params trigger_type=fix_point, info=None, with_delay=True
# 0:07:13.682831  | info     | Clear message sent to EEG.
# 0:07:15.200823  | info     | Value: 37 sent to EEG.
# 0:07:15.200876  | info     | send_trigger() run with params trigger_type=matrix_1, info=None, with_delay=True
# 0:07:15.204209  | info     | Clear message sent to EEG.
# 0:07:17.221225  | info     | Value: 38 sent to EEG.
# 0:07:17.221286  | info     | send_trigger() run with params trigger_type=mask, info=None, with_delay=True
# 0:07:17.224472  | info     | Clear message sent to EEG.
# 0:07:19.246772  | info     | Value: 39 sent to EEG.
# 0:07:19.246827  | info     | send_trigger() run with params trigger_type=matrix_2, info=None, with_delay=True
# 0:07:19.250013  | info     | Clear message sent to EEG.
# 0:07:20.046094  | info     | Value: 40 sent to EEG.
# 0:07:20.046137  | info     | send_trigger() run with params trigger_type=answer, info=None, with_delay=True
# 0:07:20.049329  | info     | Clear message sent to EEG.
# 0:07:22.156403  | info     | Value: 41 sent to EEG.
# 0:07:22.156421  | info     | send_trigger() run with params trigger_type=fix_point, info=None, with_delay=True
# 0:07:22.159594  | info     | Clear message sent to EEG.
# 0:07:23.679669  | info     | Value: 42 sent to EEG.
# 0:07:23.679698  | info     | send_trigger() run with params trigger_type=matrix_1, info=None, with_delay=True
# 0:07:23.682861  | info     | Clear message sent to EEG.
# 0:07:25.700536  | info     | Value: 43 sent to EEG.
# 0:07:25.700589  | info     | send_trigger() run with params trigger_type=mask, info=None, with_delay=True
# 0:07:25.703775  | info     | Clear message sent to EEG.
# 0:07:27.728076  | info     | Value: 44 sent to EEG.
# 0:07:27.728138  | info     | send_trigger() run with params trigger_type=matrix_2, info=None, with_delay=True
# 0:07:27.731512  | info     | Clear message sent to EEG.
# 0:07:29.028818  | info     | Value: 45 sent to EEG.
# 0:07:29.028851  | info     | send_trigger() run with params trigger_type=answer, info=None, with_delay=True
# 0:07:29.032017  | info     | Clear message sent to EEG.
# 0:07:30.693196  | info     | Value: 46 sent to EEG.
# 0:07:30.693214  | info     | send_trigger() run with params trigger_type=fix_point, info=None, with_delay=True
# 0:07:30.696577  | info     | Clear message sent to EEG.
# 0:07:32.214292  | info     | Value: 47 sent to EEG.
# 0:07:32.214316  | info     | send_trigger() run with params trigger_type=matrix_1, info=None, with_delay=True
# 0:07:32.217520  | info     | Clear message sent to EEG.
# 0:07:34.235208  | info     | Value: 48 sent to EEG.
# 0:07:34.235266  | info     | send_trigger() run with params trigger_type=mask, info=None, with_delay=True
# 0:07:34.238444  | info     | Clear message sent to EEG.
# 0:07:36.260514  | info     | Value: 49 sent to EEG.
# 0:07:36.260573  | info     | send_trigger() run with params trigger_type=matrix_2, info=None, with_delay=True
# 0:07:36.263917  | info     | Clear message sent to EEG.
# 0:07:37.333465  | info     | Value: 50 sent to EEG.
# 0:07:37.333505  | info     | send_trigger() run with params trigger_type=answer, info=None, with_delay=True
# 0:07:37.336805  | info     | Clear message sent to EEG.
# 0:07:38.360027  | info     | Value: 51 sent to EEG.
# 0:07:38.360068  | info     | send_trigger() run with params trigger_type=fix_point, info=None, with_delay=True
# 0:07:38.363409  | info     | Clear message sent to EEG.
# 0:07:39.880921  | info     | Value: 52 sent to EEG.
# 0:07:39.880956  | info     | send_trigger() run with params trigger_type=matrix_1, info=None, with_delay=True
# 0:07:39.884111  | info     | Clear message sent to EEG.
# 0:07:41.901751  | info     | Value: 53 sent to EEG.
# 0:07:41.901806  | info     | send_trigger() run with params trigger_type=mask, info=None, with_delay=True
# 0:07:41.905031  | info     | Clear message sent to EEG.
# 0:07:43.927110  | info     | Value: 54 sent to EEG.
# 0:07:43.927168  | info     | send_trigger() run with params trigger_type=matrix_2, info=None, with_delay=True
# 0:07:43.930519  | info     | Clear message sent to EEG.
# 0:07:45.546690  | info     | Value: 55 sent to EEG.
# 0:07:45.546731  | info     | send_trigger() run with params trigger_type=answer, info=None, with_delay=True
# 0:07:45.549914  | info     | Clear message sent to EEG.
# 0:07:47.359932  | info     | Value: 56 sent to EEG.
# 0:07:47.359951  | info     | send_trigger() run with params trigger_type=fix_point, info=None, with_delay=True
# 0:07:47.363293  | info     | Clear message sent to EEG.
# 0:07:48.880884  | info     | Value: 57 sent to EEG.
# 0:07:48.880919  | info     | send_trigger() run with params trigger_type=matrix_1, info=None, with_delay=True
# 0:07:48.884267  | info     | Clear message sent to EEG.
# 0:07:50.901691  | info     | Value: 58 sent to EEG.
# 0:07:50.901745  | info     | send_trigger() run with params trigger_type=mask, info=None, with_delay=True
# 0:07:50.905048  | info     | Clear message sent to EEG.
# 0:07:52.929428  | info     | Value: 59 sent to EEG.
# 0:07:52.929486  | info     | send_trigger() run with params trigger_type=matrix_2, info=None, with_delay=True
# 0:07:52.932911  | info     | Clear message sent to EEG.
# 0:07:54.143453  | info     | Value: 60 sent to EEG.
# 0:07:54.143492  | info     | send_trigger() run with params trigger_type=answer, info=None, with_delay=True
# 0:07:54.146709  | info     | Clear message sent to EEG.
# 0:07:55.795084  | info     | Value: 1 sent to EEG.
# 0:07:55.795101  | info     | send_trigger() run with params trigger_type=fix_point, info=None, with_delay=True
# 0:07:55.798324  | info     | Clear message sent to EEG.
# 0:07:57.318283  | info     | Value: 2 sent to EEG.
# 0:07:57.318307  | info     | send_trigger() run with params trigger_type=matrix_1, info=None, with_delay=True
# 0:07:57.321498  | info     | Clear message sent to EEG.
# 0:07:59.339175  | info     | Value: 3 sent to EEG.
# 0:07:59.339234  | info     | send_trigger() run with params trigger_type=mask, info=None, with_delay=True
# 0:07:59.342412  | info     | Clear message sent to EEG.
# 0:08:01.364700  | info     | Value: 4 sent to EEG.
# 0:08:01.364757  | info     | send_trigger() run with params trigger_type=matrix_2, info=None, with_delay=True
# 0:08:01.367950  | info     | Clear message sent to EEG.
# 0:08:02.740985  | info     | Value: 5 sent to EEG.
# 0:08:02.741037  | info     | send_trigger() run with params trigger_type=answer, info=None, with_delay=True
# 0:08:02.744223  | info     | Clear message sent to EEG.
# 0:08:03.679280  | info     | Value: 6 sent to EEG.
# 0:08:03.679297  | info     | send_trigger() run with params trigger_type=fix_point, info=None, with_delay=True
# 0:08:03.682509  | info     | Clear message sent to EEG.
# 0:08:05.200289  | info     | Value: 7 sent to EEG.
# 0:08:05.200327  | info     | send_trigger() run with params trigger_type=matrix_1, info=None, with_delay=True
# 0:08:05.203490  | info     | Clear message sent to EEG.
# 0:08:07.221148  | info     | Value: 8 sent to EEG.
# 0:08:07.221201  | info     | send_trigger() run with params trigger_type=mask, info=None, with_delay=True
# 0:08:07.224549  | info     | Clear message sent to EEG.
# 0:08:09.246449  | info     | Value: 9 sent to EEG.
# 0:08:09.246500  | info     | send_trigger() run with params trigger_type=matrix_2, info=None, with_delay=True
# 0:08:09.249683  | info     | Clear message sent to EEG.
# 0:08:10.305364  | info     | Value: 10 sent to EEG.
# 0:08:10.305411  | info     | send_trigger() run with params trigger_type=answer, info=None, with_delay=True
# 0:08:10.308771  | info     | Clear message sent to EEG.
# 0:08:12.019480  | info     | Value: 11 sent to EEG.
# 0:08:12.019497  | info     | send_trigger() run with params trigger_type=fix_point, info=None, with_delay=True
# 0:08:12.022700  | info     | Clear message sent to EEG.
# 0:08:13.540571  | info     | Value: 12 sent to EEG.
# 0:08:13.540606  | info     | send_trigger() run with params trigger_type=matrix_1, info=None, with_delay=True
# 0:08:13.543961  | info     | Clear message sent to EEG.
# 0:08:15.561314  | info     | Value: 13 sent to EEG.
# 0:08:15.561372  | info     | send_trigger() run with params trigger_type=mask, info=None, with_delay=True
# 0:08:15.564777  | info     | Clear message sent to EEG.
# 0:08:17.589148  | info     | Value: 14 sent to EEG.
# 0:08:17.589207  | info     | send_trigger() run with params trigger_type=matrix_2, info=None, with_delay=True
# 0:08:17.592592  | info     | Clear message sent to EEG.
# 0:08:18.769757  | info     | Value: 15 sent to EEG.
# 0:08:18.769791  | info     | send_trigger() run with params trigger_type=answer, info=None, with_delay=True
# 0:08:18.772973  | info     | Clear message sent to EEG.
# 0:08:20.808826  | info     | Value: 16 sent to EEG.
# 0:08:20.808844  | info     | send_trigger() run with params trigger_type=fix_point, info=None, with_delay=True
# 0:08:20.812117  | info     | Clear message sent to EEG.
# 0:08:22.332070  | info     | Value: 17 sent to EEG.
# 0:08:22.332095  | info     | send_trigger() run with params trigger_type=matrix_1, info=None, with_delay=True
# 0:08:22.335261  | info     | Clear message sent to EEG.
# 0:08:24.352963  | info     | Value: 18 sent to EEG.
# 0:08:24.353010  | info     | send_trigger() run with params trigger_type=mask, info=None, with_delay=True
# 0:08:24.356378  | info     | Clear message sent to EEG.
# 0:08:26.380508  | info     | Value: 19 sent to EEG.
# 0:08:26.380567  | info     | send_trigger() run with params trigger_type=matrix_2, info=None, with_delay=True
# 0:08:26.383950  | info     | Clear message sent to EEG.
# 0:08:27.735547  | info     | Value: 20 sent to EEG.
# 0:08:27.735567  | info     | send_trigger() run with params trigger_type=answer, info=None, with_delay=True
# 0:08:27.738724  | info     | Clear message sent to EEG.
# 0:08:29.135142  | info     | Value: 21 sent to EEG.
# 0:08:29.135160  | info     | send_trigger() run with params trigger_type=fix_point, info=None, with_delay=True
# 0:08:29.138382  | info     | Clear message sent to EEG.
# 0:08:30.658189  | info     | Value: 22 sent to EEG.
# 0:08:30.658210  | info     | send_trigger() run with params trigger_type=matrix_1, info=None, with_delay=True
# 0:08:30.661375  | info     | Clear message sent to EEG.
# 0:08:32.679024  | info     | Value: 23 sent to EEG.
# 0:08:32.679077  | info     | send_trigger() run with params trigger_type=mask, info=None, with_delay=True
# 0:08:32.682442  | info     | Clear message sent to EEG.
# 0:08:34.704803  | info     | Value: 24 sent to EEG.
# 0:08:34.704862  | info     | send_trigger() run with params trigger_type=matrix_2, info=None, with_delay=True
# 0:08:34.708049  | info     | Clear message sent to EEG.
# 0:08:35.992692  | info     | Value: 25 sent to EEG.
# 0:08:35.992725  | info     | send_trigger() run with params trigger_type=answer, info=None, with_delay=True
# 0:08:35.995869  | info     | Clear message sent to EEG.
# 0:08:38.130388  | info     | Value: 26 sent to EEG.
# 0:08:38.130406  | info     | send_trigger() run with params trigger_type=fix_point, info=None, with_delay=True
# 0:08:38.133614  | info     | Clear message sent to EEG.
# 0:08:39.651368  | info     | Value: 27 sent to EEG.
# 0:08:39.651392  | info     | send_trigger() run with params trigger_type=matrix_1, info=None, with_delay=True
# 0:08:39.654561  | info     | Clear message sent to EEG.
# 0:08:41.672266  | info     | Value: 28 sent to EEG.
# 0:08:41.672327  | info     | send_trigger() run with params trigger_type=mask, info=None, with_delay=True
# 0:08:41.675513  | info     | Clear message sent to EEG.
# 0:08:43.699836  | info     | Value: 29 sent to EEG.
# 0:08:43.699893  | info     | send_trigger() run with params trigger_type=matrix_2, info=None, with_delay=True
# 0:08:43.703266  | info     | Clear message sent to EEG.
# 0:08:46.978255  | info     | Value: 30 sent to EEG.
# 0:08:46.978273  | info     | send_trigger() run with params trigger_type=answer, info=None, with_delay=True
# 0:08:46.981438  | info     | Clear message sent to EEG.
# 0:08:48.852592  | info     | Value: 31 sent to EEG.
# 0:08:48.852609  | info     | send_trigger() run with params trigger_type=fix_point, info=None, with_delay=True
# 0:08:48.855795  | info     | Clear message sent to EEG.
# 0:08:50.373579  | info     | Value: 32 sent to EEG.
# 0:08:50.373613  | info     | send_trigger() run with params trigger_type=matrix_1, info=None, with_delay=True
# 0:08:50.376814  | info     | Clear message sent to EEG.
# 0:08:52.394403  | info     | Value: 33 sent to EEG.
# 0:08:52.394463  | info     | send_trigger() run with params trigger_type=mask, info=None, with_delay=True
# 0:08:52.397689  | info     | Clear message sent to EEG.
# 0:08:54.419938  | info     | Value: 34 sent to EEG.
# 0:08:54.419995  | info     | send_trigger() run with params trigger_type=matrix_2, info=None, with_delay=True
# 0:08:54.423174  | info     | Clear message sent to EEG.
# 0:08:55.483762  | info     | Value: 35 sent to EEG.
# 0:08:55.483804  | info     | send_trigger() run with params trigger_type=answer, info=None, with_delay=True
# 0:08:55.487022  | info     | Clear message sent to EEG.
# 0:08:57.044716  | info     | Value: 36 sent to EEG.
# 0:08:57.044733  | info     | send_trigger() run with params trigger_type=fix_point, info=None, with_delay=True
# 0:08:57.048000  | info     | Clear message sent to EEG.
# 0:08:58.572645  | info     | Value: 37 sent to EEG.
# 0:08:58.572701  | info     | send_trigger() run with params trigger_type=matrix_1, info=None, with_delay=True
# 0:08:58.575879  | info     | Clear message sent to EEG.
# 0:09:00.602737  | info     | Value: 38 sent to EEG.
# 0:09:00.602787  | info     | send_trigger() run with params trigger_type=mask, info=None, with_delay=True
# 0:09:00.606012  | info     | Clear message sent to EEG.
# 0:09:02.630321  | info     | Value: 39 sent to EEG.
# 0:09:02.630378  | info     | send_trigger() run with params trigger_type=matrix_2, info=None, with_delay=True
# 0:09:02.633566  | info     | Clear message sent to EEG.
# 0:09:04.845705  | info     | Value: 40 sent to EEG.
# 0:09:04.845738  | info     | send_trigger() run with params trigger_type=answer, info=None, with_delay=True
# 0:09:04.848958  | info     | Clear message sent to EEG.
# 0:09:43.005063  | info     | Value: 41 sent to EEG.
# 0:09:43.005090  | info     | send_trigger() run with params trigger_type=fix_point, info=None, with_delay=True
# 0:09:43.008376  | info     | Clear message sent to EEG.
# 0:09:44.525872  | info     | Value: 42 sent to EEG.
# 0:09:44.525892  | info     | send_trigger() run with params trigger_type=matrix_1, info=None, with_delay=True
# 0:09:44.529015  | info     | Clear message sent to EEG.
# 0:09:46.553564  | info     | Value: 43 sent to EEG.
# 0:09:46.553618  | info     | send_trigger() run with params trigger_type=mask, info=None, with_delay=True
# 0:09:46.556992  | info     | Clear message sent to EEG.
# 0:09:48.581375  | info     | Value: 44 sent to EEG.
# 0:09:48.581425  | info     | send_trigger() run with params trigger_type=matrix_2, info=None, with_delay=True
# 0:09:48.584804  | info     | Clear message sent to EEG.
# 0:09:49.686714  | info     | Value: 45 sent to EEG.
# 0:09:49.686752  | info     | send_trigger() run with params trigger_type=answer, info=None, with_delay=True
# 0:09:49.689930  | info     | Clear message sent to EEG.
# 0:09:51.120736  | info     | Value: 46 sent to EEG.
# 0:09:51.120754  | info     | send_trigger() run with params trigger_type=fix_point, info=None, with_delay=True
# 0:09:51.124031  | info     | Clear message sent to EEG.
# 0:09:52.644002  | info     | Value: 47 sent to EEG.
# 0:09:52.644036  | info     | send_trigger() run with params trigger_type=matrix_1, info=None, with_delay=True
# 0:09:52.647385  | info     | Clear message sent to EEG.
# 0:09:54.664903  | info     | Value: 48 sent to EEG.
# 0:09:54.664949  | info     | send_trigger() run with params trigger_type=mask, info=None, with_delay=True
# 0:09:54.668131  | info     | Clear message sent to EEG.
# 0:09:56.692432  | info     | Value: 49 sent to EEG.
# 0:09:56.692489  | info     | send_trigger() run with params trigger_type=matrix_2, info=None, with_delay=True
# 0:09:56.695871  | info     | Clear message sent to EEG.
# 0:09:57.469410  | info     | Value: 50 sent to EEG.
# 0:09:57.469447  | info     | send_trigger() run with params trigger_type=answer, info=None, with_delay=True
# 0:09:57.472784  | info     | Clear message sent to EEG.
# 0:09:59.692441  | info     | Value: 51 sent to EEG.
# 0:09:59.692458  | info     | send_trigger() run with params trigger_type=fix_point, info=None, with_delay=True
# 0:09:59.695636  | info     | Clear message sent to EEG.
# 0:10:01.213128  | info     | Value: 52 sent to EEG.
# 0:10:01.213162  | info     | send_trigger() run with params trigger_type=matrix_1, info=None, with_delay=True
# 0:10:01.216505  | info     | Clear message sent to EEG.
# 0:10:03.241255  | info     | Value: 53 sent to EEG.
# 0:10:03.241313  | info     | send_trigger() run with params trigger_type=mask, info=None, with_delay=True
# 0:10:03.244496  | info     | Clear message sent to EEG.
# 0:10:05.269077  | info     | Value: 54 sent to EEG.
# 0:10:05.269127  | info     | send_trigger() run with params trigger_type=matrix_2, info=None, with_delay=True
# 0:10:05.272515  | info     | Clear message sent to EEG.
# 0:10:07.677140  | info     | Value: 55 sent to EEG.
# 0:10:07.677161  | info     | send_trigger() run with params trigger_type=answer, info=None, with_delay=True
# 0:10:07.680314  | info     | Clear message sent to EEG.
# 0:10:09.428491  | info     | Value: 56 sent to EEG.
# 0:10:09.428508  | info     | send_trigger() run with params trigger_type=fix_point, info=None, with_delay=True
# 0:10:09.431685  | info     | Clear message sent to EEG.
# 0:10:10.949203  | info     | Value: 57 sent to EEG.
# 0:10:10.949228  | info     | send_trigger() run with params trigger_type=matrix_1, info=None, with_delay=True
# 0:10:10.952575  | info     | Clear message sent to EEG.
# 0:10:12.970265  | info     | Value: 58 sent to EEG.
# 0:10:12.970316  | info     | send_trigger() run with params trigger_type=mask, info=None, with_delay=True
# 0:10:12.973534  | info     | Clear message sent to EEG.
# 0:10:14.998018  | info     | Value: 59 sent to EEG.
# 0:10:14.998071  | info     | send_trigger() run with params trigger_type=matrix_2, info=None, with_delay=True
# 0:10:15.001297  | info     | Clear message sent to EEG.
# 0:10:16.324959  | info     | Value: 60 sent to EEG.
# 0:10:16.324979  | info     | send_trigger() run with params trigger_type=answer, info=None, with_delay=True
# 0:10:16.328291  | info     | Clear message sent to EEG.
# 0:10:17.446820  | info     | Value: 1 sent to EEG.
# 0:10:17.446836  | info     | send_trigger() run with params trigger_type=fix_point, info=None, with_delay=True
# 0:10:17.450044  | info     | Clear message sent to EEG.
# 0:10:18.970180  | info     | Value: 2 sent to EEG.
# 0:10:18.970208  | info     | send_trigger() run with params trigger_type=matrix_1, info=None, with_delay=True
# 0:10:18.973418  | info     | Clear message sent to EEG.
# 0:10:20.991026  | info     | Value: 3 sent to EEG.
# 0:10:20.991078  | info     | send_trigger() run with params trigger_type=mask, info=None, with_delay=True
# 0:10:20.994252  | info     | Clear message sent to EEG.
# 0:10:23.016576  | info     | Value: 4 sent to EEG.
# 0:10:23.016635  | info     | send_trigger() run with params trigger_type=matrix_2, info=None, with_delay=True
# 0:10:23.019822  | info     | Clear message sent to EEG.
# 0:10:24.308739  | info     | Value: 5 sent to EEG.
# 0:10:24.308774  | info     | send_trigger() run with params trigger_type=answer, info=None, with_delay=True
# 0:10:24.311946  | info     | Clear message sent to EEG.
# 0:10:25.782524  | info     | Value: 6 sent to EEG.
# 0:10:25.782541  | info     | send_trigger() run with params trigger_type=fix_point, info=None, with_delay=True
# 0:10:25.785750  | info     | Clear message sent to EEG.
# 0:10:27.310641  | info     | Value: 7 sent to EEG.
# 0:10:27.310687  | info     | send_trigger() run with params trigger_type=matrix_1, info=None, with_delay=True
# 0:10:27.313902  | info     | Clear message sent to EEG.
# 0:10:29.331300  | info     | Value: 8 sent to EEG.
# 0:10:29.331358  | info     | send_trigger() run with params trigger_type=mask, info=None, with_delay=True
# 0:10:29.334540  | info     | Clear message sent to EEG.
# 0:10:31.359099  | info     | Value: 9 sent to EEG.
# 0:10:31.359151  | info     | send_trigger() run with params trigger_type=matrix_2, info=None, with_delay=True
# 0:10:31.362336  | info     | Clear message sent to EEG.
# 0:10:33.530973  | info     | Value: 10 sent to EEG.
# 0:10:33.531002  | info     | send_trigger() run with params trigger_type=answer, info=None, with_delay=True
# 0:10:33.534195  | info     | Clear message sent to EEG.
# 0:10:35.671363  | info     | Value: 11 sent to EEG.
# 0:10:35.671379  | info     | send_trigger() run with params trigger_type=fix_point, info=None, with_delay=True
# 0:10:35.674600  | info     | Clear message sent to EEG.
# 0:10:37.192317  | info     | Value: 12 sent to EEG.
# 0:10:37.192350  | info     | send_trigger() run with params trigger_type=matrix_1, info=None, with_delay=True
# 0:10:37.195689  | info     | Clear message sent to EEG.
# 0:10:39.213248  | info     | Value: 13 sent to EEG.
# 0:10:39.213305  | info     | send_trigger() run with params trigger_type=mask, info=None, with_delay=True
# 0:10:39.216487  | info     | Clear message sent to EEG.
# 0:10:41.241001  | info     | Value: 14 sent to EEG.
# 0:10:41.241050  | info     | send_trigger() run with params trigger_type=matrix_2, info=None, with_delay=True
# 0:10:41.244439  | info     | Clear message sent to EEG.
# 0:10:43.892192  | info     | Value: 15 sent to EEG.
# 0:10:43.892214  | info     | send_trigger() run with params trigger_type=answer, info=None, with_delay=True
# 0:10:43.895373  | info     | Clear message sent to EEG.
# 0:10:45.935176  | info     | Value: 16 sent to EEG.
# 0:10:45.935193  | info     | send_trigger() run with params trigger_type=fix_point, info=None, with_delay=True
# 0:10:45.938408  | info     | Clear message sent to EEG.
# 0:10:47.460411  | info     | Value: 17 sent to EEG.
# 0:10:47.460423  | info     | send_trigger() run with params trigger_type=matrix_1, info=None, with_delay=True
# 0:10:47.463605  | info     | Clear message sent to EEG.
# 0:10:49.483919  | info     | Value: 18 sent to EEG.
# 0:10:49.483963  | info     | send_trigger() run with params trigger_type=mask, info=None, with_delay=True
# 0:10:49.487152  | info     | Clear message sent to EEG.
# 0:10:51.511596  | info     | Value: 19 sent to EEG.
# 0:10:51.511644  | info     | send_trigger() run with params trigger_type=matrix_2, info=None, with_delay=True
# 0:10:51.515014  | info     | Clear message sent to EEG.
# 0:10:52.714556  | info     | Value: 20 sent to EEG.
# 0:10:52.714587  | info     | send_trigger() run with params trigger_type=answer, info=None, with_delay=True
# 0:10:52.717801  | info     | Clear message sent to EEG.
# 0:10:54.400419  | info     | Value: 21 sent to EEG.
# 0:10:54.400436  | info     | send_trigger() run with params trigger_type=fix_point, info=None, with_delay=True
# 0:10:54.403623  | info     | Clear message sent to EEG.
# 0:10:55.921521  | info     | Value: 22 sent to EEG.
# 0:10:55.921575  | info     | send_trigger() run with params trigger_type=matrix_1, info=None, with_delay=True
# 0:10:55.925010  | info     | Clear message sent to EEG.
# 0:10:57.942218  | info     | Value: 23 sent to EEG.
# 0:10:57.942275  | info     | send_trigger() run with params trigger_type=mask, info=None, with_delay=True
# 0:10:57.945505  | info     | Clear message sent to EEG.
# 0:10:59.967553  | info     | Value: 24 sent to EEG.
# 0:10:59.967608  | info     | send_trigger() run with params trigger_type=matrix_2, info=None, with_delay=True
# 0:10:59.970955  | info     | Clear message sent to EEG.
# 0:11:00.919803  | info     | Value: 25 sent to EEG.
# 0:11:00.919849  | info     | send_trigger() run with params trigger_type=answer, info=None, with_delay=True
# 0:11:00.923032  | info     | Clear message sent to EEG.
# 0:11:03.053119  | info     | Value: 26 sent to EEG.
# 0:11:03.053136  | info     | send_trigger() run with params trigger_type=fix_point, info=None, with_delay=True
# 0:11:03.056408  | info     | Clear message sent to EEG.
# 0:11:04.574056  | info     | Value: 27 sent to EEG.
# 0:11:04.574083  | info     | send_trigger() run with params trigger_type=matrix_1, info=None, with_delay=True
# 0:11:04.577264  | info     | Clear message sent to EEG.
# 0:11:06.594931  | info     | Value: 28 sent to EEG.
# 0:11:06.594977  | info     | send_trigger() run with params trigger_type=mask, info=None, with_delay=True
# 0:11:06.598208  | info     | Clear message sent to EEG.
# 0:11:08.622758  | info     | Value: 29 sent to EEG.
# 0:11:08.622808  | info     | send_trigger() run with params trigger_type=matrix_2, info=None, with_delay=True
# 0:11:08.626028  | info     | Clear message sent to EEG.
# 0:11:09.850486  | info     | Value: 30 sent to EEG.
# 0:11:09.850518  | info     | send_trigger() run with params trigger_type=answer, info=None, with_delay=True
# 0:11:09.853685  | info     | Clear message sent to EEG.
# 0:11:11.953435  | info     | Value: 31 sent to EEG.
# 0:11:11.953462  | info     | send_trigger() run with params trigger_type=fix_point, info=None, with_delay=True
# 0:11:11.956745  | info     | Clear message sent to EEG.
# 0:11:13.476772  | info     | Value: 32 sent to EEG.
# 0:11:13.476786  | info     | send_trigger() run with params trigger_type=matrix_1, info=None, with_delay=True
# 0:11:13.479968  | info     | Clear message sent to EEG.
# 0:11:15.497615  | info     | Value: 33 sent to EEG.
# 0:11:15.497672  | info     | send_trigger() run with params trigger_type=mask, info=None, with_delay=True
# 0:11:15.501025  | info     | Clear message sent to EEG.
# 0:11:17.525332  | info     | Value: 34 sent to EEG.
# 0:11:17.525380  | info     | send_trigger() run with params trigger_type=matrix_2, info=None, with_delay=True
# 0:11:17.528762  | info     | Clear message sent to EEG.
# 0:11:19.732857  | info     | Value: 35 sent to EEG.
# 0:11:19.732900  | info     | send_trigger() run with params trigger_type=answer, info=None, with_delay=True
# 0:11:19.736228  | info     | Clear message sent to EEG.
# 0:11:21.342254  | info     | Value: 36 sent to EEG.
# 0:11:21.342271  | info     | send_trigger() run with params trigger_type=fix_point, info=None, with_delay=True
# 0:11:21.345483  | info     | Clear message sent to EEG.
# 0:11:22.865540  | info     | Value: 37 sent to EEG.
# 0:11:22.865573  | info     | send_trigger() run with params trigger_type=matrix_1, info=None, with_delay=True
# 0:11:22.868928  | info     | Clear message sent to EEG.
# 0:11:24.886493  | info     | Value: 38 sent to EEG.
# 0:11:24.886553  | info     | send_trigger() run with params trigger_type=mask, info=None, with_delay=True
# 0:11:24.889793  | info     | Clear message sent to EEG.
# 0:11:26.914063  | info     | Value: 39 sent to EEG.
# 0:11:26.914121  | info     | send_trigger() run with params trigger_type=matrix_2, info=None, with_delay=True
# 0:11:26.917354  | info     | Clear message sent to EEG.
# 0:11:29.412793  | info     | Value: 40 sent to EEG.
# 0:11:29.412834  | info     | send_trigger() run with params trigger_type=answer, info=None, with_delay=True
# 0:11:29.416018  | info     | Clear message sent to EEG.
# 0:11:31.476494  | info     | Value: 41 sent to EEG.
# 0:11:31.476511  | info     | send_trigger() run with params trigger_type=fix_point, info=None, with_delay=True
# 0:11:31.479864  | info     | Clear message sent to EEG.
# 0:11:32.997568  | info     | Value: 42 sent to EEG.
# 0:11:32.997620  | info     | send_trigger() run with params trigger_type=matrix_1, info=None, with_delay=True
# 0:11:33.000930  | info     | Clear message sent to EEG.
# 0:11:35.018366  | info     | Value: 43 sent to EEG.
# 0:11:35.018419  | info     | send_trigger() run with params trigger_type=mask, info=None, with_delay=True
# 0:11:35.021641  | info     | Clear message sent to EEG.
# 0:11:37.046142  | info     | Value: 44 sent to EEG.
# 0:11:37.046201  | info     | send_trigger() run with params trigger_type=matrix_2, info=None, with_delay=True
# 0:11:37.049436  | info     | Clear message sent to EEG.
# 0:11:37.905873  | info     | Value: 45 sent to EEG.
# 0:11:37.905914  | info     | send_trigger() run with params trigger_type=answer, info=None, with_delay=True
# 0:11:37.909101  | info     | Clear message sent to EEG.
# 0:11:39.515943  | info     | Value: 46 sent to EEG.
# 0:11:39.515975  | info     | send_trigger() run with params trigger_type=fix_point, info=None, with_delay=True
# 0:11:39.519138  | info     | Clear message sent to EEG.
# 0:11:41.039270  | info     | Value: 47 sent to EEG.
# 0:11:41.039313  | info     | send_trigger() run with params trigger_type=matrix_1, info=None, with_delay=True
# 0:11:41.042479  | info     | Clear message sent to EEG.
# 0:11:43.060041  | info     | Value: 48 sent to EEG.
# 0:11:43.060092  | info     | send_trigger() run with params trigger_type=mask, info=None, with_delay=True
# 0:11:43.063273  | info     | Clear message sent to EEG.
# 0:11:45.085331  | info     | Value: 49 sent to EEG.
# 0:11:45.085384  | info     | send_trigger() run with params trigger_type=matrix_2, info=None, with_delay=True
# 0:11:45.088563  | info     | Clear message sent to EEG.
# 0:11:46.016724  | info     | Value: 50 sent to EEG.
# 0:11:46.016765  | info     | send_trigger() run with params trigger_type=answer, info=None, with_delay=True
# 0:11:46.020041  | info     | Clear message sent to EEG.
# 0:11:48.254219  | info     | Value: 51 sent to EEG.
# 0:11:48.254236  | info     | send_trigger() run with params trigger_type=fix_point, info=None, with_delay=True
# 0:11:48.257427  | info     | Clear message sent to EEG.
# 0:11:49.775207  | info     | Value: 52 sent to EEG.
