trigger_no,trigger_type,acc,n,block_type
# 0:02:11.647920  | info     | send_trigger() run with params trigger_type=answer, info=None, with_delay=True
# 0:02:11.651092  | info     | Clear message sent to EEG.
# 0:02:13.980064  | info     | Value: 41 sent to EEG.
# 0:02:13.980093  | info     | send_trigger() run with params trigger_type=fix_point, info=None, with_delay=True
# 0:02:13.983236  | info     | Clear message sent to EEG.
# 0:02:15.500830  | info     | Value: 42 sent to EEG.
# 0:02:15.500845  | info     | send_trigger() run with params trigger_type=matrix_1, info=None, with_delay=True
# 0:02:15.504025  | info     | Clear message sent to EEG.
# 0:02:17.521880  | info     | Value: 43 sent to EEG.
# 0:02:17.521930  | info     | send_trigger() run with params trigger_type=mask, info=None, with_delay=True
# 0:02:17.525127  | info     | Clear message sent to EEG.
# 0:02:19.549464  | info     | Value: 44 sent to EEG.
# 0:02:19.549521  | info     | send_trigger() run with params trigger_type=matrix_2, info=None, with_delay=True
# 0:02:19.552721  | info     | Clear message sent to EEG.
# 0:02:21.128133  | info     | Value: 45 sent to EEG.
# 0:02:21.128166  | info     | send_trigger() run with params trigger_type=answer, info=None, with_delay=True
# 0:02:21.131330  | info     | Clear message sent to EEG.
# 0:02:22.889724  | info     | Value: 46 sent to EEG.
# 0:02:22.889751  | info     | send_trigger() run with params trigger_type=fix_point, info=None, with_delay=True
# 0:02:22.892998  | info     | Clear message sent to EEG.
# 0:02:24.410745  | info     | Value: 47 sent to EEG.
# 0:02:24.410771  | info     | send_trigger() run with params trigger_type=matrix_1, info=None, with_delay=True
# 0:02:24.413935  | info     | Clear message sent to EEG.
# 0:02:26.431629  | info     | Value: 48 sent to EEG.
# 0:02:26.431701  | info     | send_trigger() run with params trigger_type=mask, info=None, with_delay=True
# 0:02:26.434883  | info     | Clear message sent to EEG.
# 0:02:28.456956  | info     | Value: 49 sent to EEG.
# 0:02:28.457014  | info     | send_trigger() run with params trigger_type=matrix_2, info=None, with_delay=True
# 0:02:28.460349  | info     | Clear message sent to EEG.
# 0:02:29.492409  | info     | Value: 50 sent to EEG.
# 0:02:29.492461  | info     | send_trigger() run with params trigger_type=answer, info=None, with_delay=True
# 0:02:29.495644  | info     | Clear message sent to EEG.
# 0:02:31.438285  | info     | Value: 51 sent to EEG.
# 0:02:31.438312  | info     | send_trigger() run with params trigger_type=fix_point, info=None, with_delay=True
# 0:02:31.441491  | info     | Clear message sent to EEG.
# 0:02:32.959242  | info     | Value: 52 sent to EEG.
# 0:02:32.959266  | info     | send_trigger() run with params trigger_type=matrix_1, info=None, with_delay=True
# 0:02:32.962445  | info     | Clear message sent to EEG.
# 0:02:34.980177  | info     | Value: 53 sent to EEG.
# 0:02:34.980228  | info     | send_trigger() run with params trigger_type=mask, info=None, with_delay=True
# 0:02:34.983413  | info     | Clear message sent to EEG.
# 0:02:37.005442  | info     | Value: 54 sent to EEG.
# 0:02:37.005499  | info     | send_trigger() run with params trigger_type=matrix_2, info=None, with_delay=True
# 0:02:37.008698  | info     | Clear message sent to EEG.
# 0:02:38.027757  | info     | Value: 55 sent to EEG.
# 0:02:38.027805  | info     | send_trigger() run with params trigger_type=answer, info=None, with_delay=True
# 0:02:38.031178  | info     | Clear message sent to EEG.
# 0:02:39.060811  | info     | Value: 56 sent to EEG.
# 0:02:39.060828  | info     | send_trigger() run with params trigger_type=fix_point, info=None, with_delay=True
# 0:02:39.064146  | info     | Clear message sent to EEG.
# 0:02:40.584248  | info     | Value: 57 sent to EEG.
# 0:02:40.584276  | info     | send_trigger() run with params trigger_type=matrix_1, info=None, with_delay=True
# 0:02:40.587440  | info     | Clear message sent to EEG.
# 0:02:42.604820  | info     | Value: 58 sent to EEG.
# 0:02:42.604865  | info     | send_trigger() run with params trigger_type=mask, info=None, with_delay=True
# 0:02:42.608048  | info     | Clear message sent to EEG.
# 0:02:44.630433  | info     | Value: 59 sent to EEG.
# 0:02:44.630490  | info     | send_trigger() run with params trigger_type=matrix_2, info=None, with_delay=True
# 0:02:44.633733  | info     | Clear message sent to EEG.
# 0:02:45.272466  | info     | Value: 60 sent to EEG.
# 0:02:45.272517  | info     | send_trigger() run with params trigger_type=answer, info=None, with_delay=True
# 0:02:45.275706  | info     | Clear message sent to EEG.
# 0:02:46.972930  | info     | Value: 1 sent to EEG.
# 0:02:46.972947  | info     | send_trigger() run with params trigger_type=fix_point, info=None, with_delay=True
# 0:02:46.976302  | info     | Clear message sent to EEG.
# 0:02:48.491529  | info     | Value: 2 sent to EEG.
# 0:02:48.491544  | info     | send_trigger() run with params trigger_type=matrix_1, info=None, with_delay=True
# 0:02:48.494716  | info     | Clear message sent to EEG.
# 0:02:50.514800  | info     | Value: 3 sent to EEG.
# 0:02:50.514852  | info     | send_trigger() run with params trigger_type=mask, info=None, with_delay=True
# 0:02:50.518079  | info     | Clear message sent to EEG.
# 0:02:52.540261  | info     | Value: 4 sent to EEG.
# 0:02:52.540321  | info     | send_trigger() run with params trigger_type=matrix_2, info=None, with_delay=True
# 0:02:52.543513  | info     | Clear message sent to EEG.
# 0:02:53.693746  | info     | Value: 5 sent to EEG.
# 0:02:53.693789  | info     | send_trigger() run with params trigger_type=answer, info=None, with_delay=True
# 0:02:53.696980  | info     | Clear message sent to EEG.
# 0:02:55.250683  | info     | Value: 6 sent to EEG.
# 0:02:55.250701  | info     | send_trigger() run with params trigger_type=fix_point, info=None, with_delay=True
# 0:02:55.253914  | info     | Clear message sent to EEG.
# 0:02:56.771679  | info     | Value: 7 sent to EEG.
